genus_species,number_of_populations,database
Atheta intermedia,1,BioTIME
Atheta laticollis,1,BioTIME
Atheta longicornis,1,BioTIME
Atheta macrocera,1,BioTIME
Atheta orbata,1,BioTIME
Atheta sp,1,BioTIME
Atheta triangulum,1,BioTIME
Athetini ,17,BioTIME
Athleenia burryi,2,BioTIME
Athorybia rosacea,7,BioTIME
Athous subfuscus,1,BioTIME
Athrips mouffetella,1,BioTIME
Athrips tetrapunctella,1,BioTIME
Athripsodes aterrimus,1,BioTIME
Athyma ,1,BioTIME
Athyma asura,1,BioTIME
Athyma cama,1,BioTIME
Athyma ranga,1,BioTIME
Athyma selenophora,1,BioTIME
Atlanta fusca,21,BioTIME
Atlanta gaudichaudi,31,BioTIME
Atlanta helicinoides,1,BioTIME
Atlanta inclinata,8,BioTIME
Atlanta inflata,18,BioTIME
Atlanta lesueuri,2,BioTIME
Atlanta peresii,4,BioTIME
Atlanta peroni,41,BioTIME
Atlanta peronii,1,BioTIME
Atlanticus testaceus,1,BioTIME
Atlantopandalus propinqvus,502,BioTIME
Atlantoraja castelnaui,148,BioTIME
Atlantoraja cyclophora,95,BioTIME
Atlantoraja platana,11,BioTIME
Atolla ,6,BioTIME
Atolla chuni,3,BioTIME
Atolla gigantea,9,BioTIME
Atolla parva,24,BioTIME
Atolla sp,27,BioTIME
Atolla tenella,1,BioTIME
Atolla vanhoeffeni,38,BioTIME
Atolla wyvillei,107,BioTIME
Atolmis rubricollis,1,BioTIME
Atomaria apicalis,1,BioTIME
Atomaria atricapilla,1,BioTIME
Atomaria diluta,2,BioTIME
Atomaria fuscata,1,BioTIME
Atomaria lewisi,1,BioTIME
Atomaria linearis,1,BioTIME
Atomaria ornata,5,BioTIME
Atomaria punctithorax,1,BioTIME
Atomaria turgida,11,BioTIME
Atomariinae ,4,BioTIME
Atractocarpus fitzalanii,6,BioTIME
Atractocarpus sessilis,1,BioTIME
Atractophora ,1,BioTIME
Atractophora hypnoides,6,BioTIME
Atrecus affinis,4,BioTIME
Atrichum undulatum,6,BioTIME
Atrina ,8,BioTIME
Atrina pectinata,2,BioTIME
Atrina seminuda,12,BioTIME
Atrina sp,3,BioTIME
Atrina sp1,3,BioTIME
Atrina zelandica,5,BioTIME
Atriplex argentea,1,BioTIME
Atriplex canescens,1,BioTIME
Atriplex elegans,1,BioTIME
Atriplex powellii,1,BioTIME
Atriplex sp,1,BioTIME
Atrobucca brevis,2,BioTIME
Atrobucca nibe,14,BioTIME
Atrophaneura aidoneus,1,BioTIME
Atrophaneura polyeuctes,1,BioTIME
Atrophaneura sp,1,BioTIME
Atrophaneura varuna,1,BioTIME
Atropus atropos,1,BioTIME
Atrosalarias fuscus,2,BioTIME
Atrosalarias sp,4,BioTIME
Atrytone logan,2,BioTIME
Attagenus pellio,1,BioTIME
Attagenus smirnovi,1,BioTIME
Attalea butyracea,1,BioTIME
Attheya ,1,BioTIME
Attheya septentrionalis,51,BioTIME
Attheya sp,11,BioTIME
Attinopora zelandica,3,BioTIME
Atule mate,187,BioTIME
Atuna elata,1,BioTIME
Atuna excelsa,1,BioTIME
Atyidae ,9,BioTIME
Atylidae ,2,BioTIME
Atylus,2,BioTIME
Atylus ,17,BioTIME
Atylus carinatus,22,BioTIME
Atylus falcatus,148,BioTIME
Atylus guttatus,34,BioTIME
Atylus levidensus,2,BioTIME
Atylus sp,1,BioTIME
Atylus sp1,2,BioTIME
Atylus sp2,2,BioTIME
Atylus swammerdamei,100,BioTIME
Atylus swammerdami,89,BioTIME
Atylus tridens,4,BioTIME
Atylus urocarinatus,2,BioTIME
Atylus vedlomensis,55,BioTIME
Atypichthys strigatus,96,BioTIME
Atypopenaeus formosus,1,BioTIME
Atypopenaeus stenodactylus,6,BioTIME
Atys ,16,BioTIME
Atys cylindricus,32,BioTIME
Atys guildingi,2,BioTIME
Atys naucum,55,BioTIME
Atys riiseana,2,BioTIME
Atys riiseanus,82,BioTIME
Atys sandersoni,89,BioTIME
Atys semistriata,1,BioTIME
Atys sp1,28,BioTIME
Atys sp2,18,BioTIME
Atys sp3,1,BioTIME
Auchenoceros punctatus,325,BioTIME
Audouinella ,228,BioTIME
Audouinella battersiana,2,BioTIME
Audouinella caespitosa,1,BioTIME
Audouinella conchicola,1,BioTIME
Audouinella daviesii,2,BioTIME
Audouinella efflorescens,2,BioTIME
Audouinella gynandra,1,BioTIME
Audouinella membranacea,9,BioTIME
Audouinella parvula,2,BioTIME
Audouinella purpurea,37,BioTIME
Audouinella sanctae-mariae,1,BioTIME
Audouinella secundata,2,BioTIME
Audouinella virgatula,7,BioTIME
Audubons Warbler,1,BioTIME
Audulla chelifera,5,BioTIME
Augaptilidae ,6,BioTIME
Augaptilus anceps,2,BioTIME
Augaptilus cornutus,1,BioTIME
Augaptilus glacialis,100,BioTIME
Augaptilus longicaudatus,36,BioTIME
Augaptilus megalurus,20,BioTIME
Augaptilus sp,1,BioTIME
Augaptilus spinifrons,1,BioTIME
Augeneria spA,18,BioTIME
Augeneriella ,1,BioTIME
Augeneriella dubia,1,BioTIME
Augeneriella sp1,1,BioTIME
Aulacanthidae ,1,BioTIME
Aulacocypus parvulus,1,BioTIME
Aulacodiscus sp,1,BioTIME
Aulacomnium  sp,1,BioTIME
Aulacomnium palustre,5,BioTIME
Aulacomnium sp,5,BioTIME
Aulacomnium turgidum,6,BioTIME
Aulacoseira ambigua,2,BioTIME
Aulacoseira distans,1,BioTIME
Aulacoseira granulata,6,BioTIME
Aulacoseira islandica,1,BioTIME
Aulacoseira sp,3,BioTIME
Aulactinia verrucosa,53,BioTIME
Auletta sp1,15,BioTIME
Auletta sp2,4,BioTIME
Auliscus sp,3,BioTIME
Aulites brazieri,7,BioTIME
Aulodrilus ,1,BioTIME
Aulodrilus limnobius,49,BioTIME
Aulodrilus paucichaeta,8,BioTIME
Aulodrilus pigueti,111,BioTIME
Aulodrilus pluriseta,3,BioTIME
Aulographis bicurvata,1,BioTIME
Aulohalaelurus labiosus,3,BioTIME
Aulomyrcia zetekiana,1,BioTIME
Aulonium trisulcum,1,BioTIME
Aulonothroscus longulus,1,BioTIME
Aulophorus superterraneus,1,BioTIME
Aulopus purpurissatus,101,BioTIME
Aulorhynchidae ,1,BioTIME
Aulorhynchus flavidus,11,BioTIME
Aulosphaeridae ,2,BioTIME
Aulostomus chinensis,58,BioTIME
Aulostomus maculatus,283,BioTIME
Aulotrachichthys prosthemius,5,BioTIME
Auranticarpa papyracea,1,BioTIME
Aurelia ,9,BioTIME
Aurelia aurita,231,BioTIME
Aurelia limbata,4,BioTIME
Aureliania heterocera,20,BioTIME
Aureodinium ,1,BioTIME
Auricularia sp,2,BioTIME
Auriculinella bidentata,7,BioTIME
Aurila conradi,2,BioTIME
Aurila floridana,2,BioTIME
Auriparus flaviceps,5,BioTIME
Auriporia aurulenta,1,BioTIME
Aurospio dibranchiata,12,BioTIME
Aurospio spA,3,BioTIME
Aurospira dibranchiata,1,BioTIME
Austinixa chacei,1,BioTIME
Austinixa cristata,6,BioTIME
Austinograea alayseae,1,BioTIME
Austinograea rodriguezensis,11,BioTIME
Austraeolis ornata,3,BioTIME
Australium tentoriformis,1,BioTIME
Australostichopus mollis,13,BioTIME
Austrobuxus megacarpus,1,BioTIME
Austrobuxus nitidus,1,BioTIME
Austrocochlea constricta,3,BioTIME
Austrocochlea porcata,7,BioTIME
Austrocochlea zeus,3,BioTIME
Austrodecus glaciale,11,BioTIME
Austrolabidia gracilipes,49,BioTIME
Austrolabrus maculatus,74,BioTIME
Austrolepidopa sp73,2,BioTIME
Austrolibinia gracilipes,34,BioTIME
Austromuellera trinervia,1,BioTIME
Austronibea oedogenys,9,BioTIME
Austropallene cornigera,2,BioTIME
Austropallene gracilipes,1,BioTIME
Austropallene tibicina,2,BioTIME
Austroplenckia populnea,2,BioTIME
Austroselenites alticola,1,BioTIME
Austrosquilla tsangi,1,BioTIME
Austrosteenisia blackii,1,BioTIME
Austrosyrrhoe fimbriatus,7,BioTIME
Autalia sp,2,BioTIME
Autographa ampla,1,BioTIME
Autographa californica,1,BioTIME
Autographa corusca,1,BioTIME
Autographa gamma,1,BioTIME
Autographa jota,1,BioTIME
Autographa metallica,1,BioTIME
Autographa pseudogamma,1,BioTIME
Autographa pulchrina,1,BioTIME
Autographa sansoni,1,BioTIME
Autographa speciosa,1,BioTIME
Autolyninae ,3,BioTIME
Autolytinae ,7,BioTIME
Autolytus ,247,BioTIME
Autolytus alexandri,19,BioTIME
Autolytus aurantiacus,1,BioTIME
Autolytus brachycephalus,9,BioTIME
Autolytus cornutus,48,BioTIME
Autolytus dentalius,23,BioTIME
Autolytus edwardsii,1,BioTIME
Autolytus edwarsi,7,BioTIME
Autolytus emertoni,2,BioTIME
Autolytus fasciatus,1,BioTIME
Autolytus inermis,4,BioTIME
Autolytus langerhansi,18,BioTIME
Autolytus longeferiens,2,BioTIME
Autolytus prismaticus,4,BioTIME
Autolytus prolifer,14,BioTIME
Autolytus prolifera,41,BioTIME
Autolytus rubropunctatus,1,BioTIME
Autolytus sp,91,BioTIME
Autolytus sp1,9,BioTIME
Autolytus sp2,3,BioTIME
Autolytus spec,2,BioTIME
Automate ,133,BioTIME
Automate evermanni,121,BioTIME
Automate sp,4,BioTIME
Automate sp1,9,BioTIME
Automate sp4,25,BioTIME
Automate sp6,9,BioTIME
Autonoe denticarpus,4,BioTIME
Autonoe longipes,18,BioTIME
Auxis ,14,BioTIME
Auxis rochei,7,BioTIME
Auxis sp,49,BioTIME
Auxis thazard,16,BioTIME
Avenula pubescens,8,BioTIME
Aves ,527,BioTIME
Avicennia germinans,2,BioTIME
Avocettina infans,14,BioTIME
Avocettina paucipora,4,BioTIME
Avocettina sp,9,BioTIME
Avrainvillea ,58,BioTIME
Avrainvillea amadelpha,5,BioTIME
Avrainvillea calathina,2,BioTIME
Avrainvillea erecta,3,BioTIME
Avrainvillea lacerata,23,BioTIME
Avrainvillea sp1,33,BioTIME
Avrainvillea sp2,3,BioTIME
Avrainvillea sp3,1,BioTIME
Axarus ,15,BioTIME
Axiidae ,5,BioTIME
Axinaea sodiroi,1,BioTIME
Axinella ,9,BioTIME
Axinella damicornis,11,BioTIME
Axinella dissimilis,39,BioTIME
Axinella infundibuliformis,65,BioTIME
Axinella sp1,10,BioTIME
Axinella sp2,3,BioTIME
Axinella sp3,2,BioTIME
Axinella sp4,3,BioTIME
Axinella sp5,1,BioTIME
Axinella sp6,1,BioTIME
Axinella sp7,22,BioTIME
Axinella sp8,2,BioTIME
Axinella tricalyciformis,19,BioTIME
Axinella verrucosa,1,BioTIME
Axinellida ,2,BioTIME
Axinellidae ,43,BioTIME
Axinodon redondoensis,16,BioTIME
Axinopsida ,1,BioTIME
Axinopsida orbiculata,7,BioTIME
Axinopsida rubropicta,1,BioTIME
Axinopsida serricata,430,BioTIME
Axinulus ,1,BioTIME
Axinulus brevis,2,BioTIME
Axinulus careyi,1,BioTIME
Axinulus croulinensis,3,BioTIME
Axinulus hadalis,13,BioTIME
Axiognathus squamata,564,BioTIME
Axionice maculata,4,BioTIME
Axiopsis hirsutimana,6,BioTIME
Axiothella ,137,BioTIME
Axiothella catenata,8,BioTIME
Axiothella mucosa,376,BioTIME
Axiothella quadrimaculata,1,BioTIME
Axiothella rubrocincta,12,BioTIME
Axiothella sp,20,BioTIME
Axiothella sp1,19,BioTIME
Axiothella sp2,1,BioTIME
Axius ,11,BioTIME
Axius serratus,51,BioTIME
Axius sp1,1,BioTIME
Axonopus affinis,1,BioTIME
Axonopus pressus,1,BioTIME
Axonopus sp1,5,BioTIME
Axonopus suffultus,1,BioTIME
Axylia putris,1,BioTIME
Aygyropelecus hemigymnus,4,BioTIME
Aythya affinis,9,BioTIME
Aythya americana,4,BioTIME
Aythya collaris,7,BioTIME
Aythya ferina,9,BioTIME
Aythya fuligula,18,BioTIME
Aythya marila,13,BioTIME
Aythya valisineria,5,BioTIME
Azpeitia africana,4,BioTIME
Azpeitia sp,1,BioTIME
Azpeitia tabularis,4,BioTIME
Azurina sp,1,BioTIME
Azygopus pinnifasciatus,213,BioTIME
BAEA ,1,BioTIME
BARS ,1,BioTIME
BBWD ,1,BioTIME
BCFL ,1,BioTIME
BCHU ,1,BioTIME
BCNH ,1,BioTIME
BCSP ,1,BioTIME
BEKI ,1,BioTIME
BELNEO ,1,BioTIME
BETH ,1,BioTIME
BETUGLAN ,1,BioTIME
BETUNAN ,1,BioTIME
BETUNANA ,1,BioTIME
BETUPAP ,9,BioTIME
BETUPAP1 ,1,BioTIME
BETUPAP2 ,8,BioTIME
BETUPAP3 ,18,BioTIME
BEVI ,1,BioTIME
BEWR ,1,BioTIME
BGGN ,1,BioTIME
BHCO ,1,BioTIME
BHGR ,1,BioTIME
BLACRU,2,BioTIME
BLGR ,1,BioTIME
BLJA ,1,BioTIME
BLPH ,1,BioTIME
BLVU ,1,BioTIME
BNST ,1,BioTIME
BNSW ,1,BioTIME
BRBL ,1,BioTIME
BRCR ,1,BioTIME
BROC ,1,BioTIME
BRPE ,1,BioTIME
BRSP ,1,BioTIME
BRTH ,1,BioTIME
BRTI ,1,BioTIME
BRYOPH,1,BioTIME
BTGN ,1,BioTIME
BTSP ,1,BioTIME
BTYW ,1,BioTIME
BUFF ,1,BioTIME
BUOR ,1,BioTIME
BUOW ,1,BioTIME
BUSH ,1,BioTIME
BWTE ,1,BioTIME
BWWA ,1,BioTIME
Baccaurea courtallensis,1,BioTIME
Baccaurea griffithii,1,BioTIME
Baccaurea kunstleri,1,BioTIME
Baccaurea maingayi,1,BioTIME
Baccaurea minor,1,BioTIME
Baccaurea parviflora,1,BioTIME
Baccaurea pyriformis,1,BioTIME
Baccaurea racemosa,1,BioTIME
Baccaurea ramiflora,1,BioTIME
Baccaurea reticulata,1,BioTIME
Baccaurea sp1,1,BioTIME
Baccaurea sumatrana,1,BioTIME
Baccharis articulata,1,BioTIME
Baccharis cognata,1,BioTIME
Baccharis halimifoli,3,BioTIME
Baccharis leucopappa,1,BioTIME
Baccharis ligustrina,1,BioTIME
Baccharis ochracea,1,BioTIME
Baccharis pteronioides,1,BioTIME
Baccharis trimera,1,BioTIME
Bacillaria ,1,BioTIME
Bacillaria paradoxa,10,BioTIME
Bacillaria paxillifer,3,BioTIME
Bacillaria paxillifera,22,BioTIME
Bacillaria socialis,1,BioTIME
Bacillaria sp,6,BioTIME
Bacillariophyceae ,33,BioTIME
Bacillariophytina ,125,BioTIME
Backhousia bancroftii,1,BioTIME
Backhousia hughesii,2,BioTIME
Bacopa caroliniana,22,BioTIME
Bacopa monneri,3,BioTIME
Bacteriastrum biconicum,4,BioTIME
Bacteriastrum comosum,4,BioTIME
Bacteriastrum delicatulum,19,BioTIME
Bacteriastrum elegans,16,BioTIME
Bacteriastrum elongatum,31,BioTIME
Bacteriastrum furcatum,126,BioTIME
Bacteriastrum hyalinum,34,BioTIME
Bacteriastrum minus,3,BioTIME
Bacteriastrum solitarium,2,BioTIME
Bacteriastrum sp,69,BioTIME
Bacteriastrum varians,2,BioTIME
Bacterosira bathyomphala,84,BioTIME
Bactra furfurana,1,BioTIME
Bactra lacteana,1,BioTIME
Bactra lancealana,1,BioTIME
Bactra robustana,1,BioTIME
Bactra suedana,1,BioTIME
Bactris barronis,2,BioTIME
Bactris coloniata,2,BioTIME
Bactris coloradonis,2,BioTIME
Bactris major,2,BioTIME
Bactris maraja,1,BioTIME
Bactris panamensis,1,BioTIME
Bactrocythara ,2,BioTIME
Bactrocythara asarca,3,BioTIME
Badamia exclamationis,1,BioTIME
Badister collaris,1,BioTIME
Badister dilatatus,1,BioTIME
Badister nakayamai,4,BioTIME
Badister peltatus,1,BioTIME
Badister pictus,1,BioTIME
Baeolophus bicolor,2,BioTIME
Baeolophus inornatus,20,BioTIME
Baeolophus ridgwayi,10,BioTIME
Baetis fuscatus,1,BioTIME
Baetis muticus,1,BioTIME
Baetis rhodani,1,BioTIME
Baetis spec.,1,BioTIME
Baetis vernus,1,BioTIME
Bagre marinus,25,BioTIME
Bahia absentifolia,1,BioTIME
Bahia absinthifolia,1,BioTIME
Bahia biternata,1,BioTIME
Bahia dissecta,2,BioTIME
Baileya multiradiata,3,BioTIME
Bairdia hanaumaensis,4,BioTIME
Bairdia kauaiensis,3,BioTIME
Bairdiella chrysoura,436,BioTIME
Bairdiella chrysura,12,BioTIME
Bairdiella ronchus,1,BioTIME
Bairdiidae ,2,BioTIME
Bairdoppilata ,25,BioTIME
Bajacalifornia ,2,BioTIME
Bajacalifornia curtifrons,1,BioTIME
Bajacalifornia drakei,18,BioTIME
Bajacalifornia macrops,1,BioTIME
Bajacalifornia megalops,11,BioTIME
Bajacalifornia sp,3,BioTIME
Balaenoptera ,371,BioTIME
Balaenoptera acutorostrata,1127,BioTIME
Balaenoptera bonaerensis,223,BioTIME
Balaenoptera borealis,471,BioTIME
Balaenoptera musculus,623,BioTIME
Balaenoptera physalus,1306,BioTIME
Balaenopteridae ,385,BioTIME
Balanidae ,22,BioTIME
Balanoglossus ,84,BioTIME
Balanoglossus aurantiacus,1,BioTIME
Balanoglossus clavigerus,3,BioTIME
Balanoglossus misakiensis,2,BioTIME
Balanoglossus sp,11,BioTIME
Balanomorpha ,6,BioTIME
Balanophyllia elegans,35,BioTIME
Balanophyllia floridana,22,BioTIME
Balanophyllia regia,11,BioTIME
Balanops australiana,7,BioTIME
Balanus,3,BioTIME
Balanus ,325,BioTIME
Balanus amphitrite,3,BioTIME
Balanus balanoides,2,BioTIME
Balanus balanus,351,BioTIME
Balanus complex,28,BioTIME
Balanus crenatus,636,BioTIME
Balanus eburneus,61,BioTIME
Balanus glandula,2,BioTIME
Balanus improvisus,172,BioTIME
Balanus kondakovi,2,BioTIME
Balanus perforatus,90,BioTIME
Balanus sp,180,BioTIME
Balanus venustus,22,BioTIME
Balcis ,17,BioTIME
Balcis micans,5,BioTIME
Balcis oldroydae,3,BioTIME
Balcis sarsi,2,BioTIME
Balcis sp,2,BioTIME
Baldia johnstoni,4,BioTIME
Balfourodendron riedelianum,3,BioTIME
Balistapus undulatus,64,BioTIME
Balistes ,74,BioTIME
Balistes capriscus,954,BioTIME
Balistes carolinensis,103,BioTIME
Balistes polylepis,1,BioTIME
Balistes sp,4,BioTIME
Balistes vetula,502,BioTIME
Balistidae ,76,BioTIME
Balistidae sp1,1,BioTIME
Balistoides conspicillum,6,BioTIME
Balistoides conspicullum,2,BioTIME
Balistoides viridescens,45,BioTIME
Baloghia parviflora,1,BioTIME
Balsamorhiza sagittata,1,BioTIME
Balticina septentrionalis,183,BioTIME
Bambusicola thoracica,88,BioTIME
Bambusicola thoracicus,120,BioTIME
Banara guianensis,2,BioTIME
Banara tomentosa,25,BioTIME
Banareia australis,4,BioTIME
Banareia nobilii,1,BioTIME
Bangia ,8,BioTIME
Bangia atropurpurea,15,BioTIME
Banjos banjos,7,BioTIME
Bankia bipalmulata,1,BioTIME
Bankia setacea,1,BioTIME
Bantariella cookae,2,BioTIME
Baptisia australis,1,BioTIME
Baptisia bracteata,1,BioTIME
Barantolla ,17,BioTIME
Barantolla americana,65,BioTIME
Barantolla sp1,14,BioTIME
Barantolla sp3,1,BioTIME
Barathrites parri,1,BioTIME
Barathronus parfaiti,1,BioTIME
Barathronus sp,1,BioTIME
Barbantus curvifrons,9,BioTIME
Barbarea vulgaris,1,BioTIME
Barbatia ,2,BioTIME
Barbatia cancellaria,2,BioTIME
Barbatia candida,21,BioTIME
Barbatia domingensis,21,BioTIME
Barbatia glacialis,1,BioTIME
Barbatia parvillosa,47,BioTIME
Barbatia sp2,8,BioTIME
Barbatia sp3,1,BioTIME
Barbatia sp311,1,BioTIME
Barbatia sp4,1,BioTIME
Barbatia sp61,8,BioTIME
Barbatia tenera,3,BioTIME
Barbatia velata,1,BioTIME
Barbatula barbatula,7,BioTIME
Barbesco lanchocarpus,1,BioTIME
Barbilophozia attenuata,13,BioTIME
Barbilophozia floerkei,30,BioTIME
Barbilophozia lycopodioides,52,BioTIME
Barbilophozia sp,2,BioTIME
Barbula sp,1,BioTIME
Barentsia ,4,BioTIME
Barentsia benedeni,4,BioTIME
Barentsia discreta,3,BioTIME
Barentsia gracilis,5,BioTIME
Barentsia major,9,BioTIME
Barentsia parva,3,BioTIME
Barentsia sp,1,BioTIME
Barentsia timida,1,BioTIME
Bargmannia amoena,89,BioTIME
Bargmannia elongata,198,BioTIME
Bargmannia gigas,1,BioTIME
Bargmannia lata,26,BioTIME
Bargmannia sp,74,BioTIME
Bargmannia sp73,5,BioTIME
Baridinae,1,BioTIME
Barleeia sp,16,BioTIME
Barleeia tincta,2,BioTIME
Barleeia unifasciata,11,BioTIME
Barn Swallow,1,BioTIME
Barnacle,6,BioTIME
Barnacle sp1,44,BioTIME
Barnea ,9,BioTIME
Barnea candida,32,BioTIME
Barnea parva,12,BioTIME
Barnea truncata,19,BioTIME
Barongia lophandra,1,BioTIME
Barred owl,3,BioTIME
Barrimysia sp,1,BioTIME
Barringtonia calyptrata,2,BioTIME
Barringtonia fusiformis,1,BioTIME
Barringtonia macrostachya,1,BioTIME
Barringtonia pendula,1,BioTIME
Bartramia ithyphylla,1,BioTIME
Bartramia longicauda,225,BioTIME
Bartsia alpina,13,BioTIME
Basanus erotyloides,1,BioTIME
Bascanichthys bascanium,1,BioTIME
Bascanichthys kirkii,1,BioTIME
Bascanichthys scuticaris,1,BioTIME
Bascanichthys sp,5,BioTIME
Baseodiscus sp,7,BioTIME
Basidiodendron cinereum,1,BioTIME
Basidiodendron deminutum,1,BioTIME
Basommatophora ,2,BioTIME
Bassanago albescens,5,BioTIME
Bassanago bulbiceps,3183,BioTIME
Bassanago hirsutus,2183,BioTIME
Bassia bassensis,767,BioTIME
Bassina sp1,2,BioTIME
Bassozetus taenia,3,BioTIME
Batea ,43,BioTIME
Batea campi,8,BioTIME
Batea carinata,173,BioTIME
Batea catharinensis,401,BioTIME
Batea catherinensis,5,BioTIME
Batea cuspidata,37,BioTIME
Batea sp,4,BioTIME
Batea transversa,1,BioTIME
Bateidae ,17,BioTIME
Bathocyroe ,1,BioTIME
Bathocyroe fosteri,1,BioTIME
Bathophilus ,4,BioTIME
Bathophilus abarbatus,4,BioTIME
Bathophilus brevis,2,BioTIME
Bathophilus chironema,1,BioTIME
Bathophilus digitatus,7,BioTIME
Bathophilus indicus,1,BioTIME
Bathophilus kingi,1,BioTIME
Bathophilus longipes,2,BioTIME
Bathophilus longipinnis,1,BioTIME
Bathophilus longipinnus,2,BioTIME
Bathophilus metalicus,8,BioTIME
Bathophilus nigerrimus,2,BioTIME
Bathophilus pawneei,6,BioTIME
Bathophilus proximus,1,BioTIME
Bathophilus sp,13,BioTIME
Bathophilus vaillanti,36,BioTIME
Bathothauma lyromma,12,BioTIME
Bathoxiphus ensiculus,4,BioTIME
Bathyacmaea ,45,BioTIME
Bathyacmaea nipponica,19,BioTIME
Bathyacmaea secunda,8,BioTIME
Bathyagonus alascanus,30,BioTIME
Bathyagonus infraspinatus,11,BioTIME
Bathyagonus nigripinnis,262,BioTIME
Bathyagonus pentacanthus,26,BioTIME
Bathyanthias roseus,6,BioTIME
Bathyaploactis ornatissimus,2,BioTIME
Bathyarca ,48,BioTIME
Bathyarca anomala,9,BioTIME
Bathyarca glacialis,6,BioTIME
Bathyarca glomerula,11,BioTIME
Bathyarca pectunculoides,125,BioTIME
Bathyarca sp1,7,BioTIME
Bathybatrachoidid sp,1,BioTIME
Bathycalanus princeps,1,BioTIME
Bathycalanus richardi,1,BioTIME
Bathycallionymus bifilum,34,BioTIME
Bathycallionymus kaianus,2,BioTIME
Bathyconchoecia sp,3,BioTIME
Bathycongrus africanus,2,BioTIME
Bathycongrus dubius,1,BioTIME
Bathycongrus retrotinctus,4,BioTIME
Bathycopea daltonae,19,BioTIME
Bathyctena ,1,BioTIME
Bathycygnus longpipes,1,BioTIME
Bathyditrupa spA,1,BioTIME
Bathydraco antarcticus,7,BioTIME
Bathydraco joannae,4,BioTIME
Bathydraco marri,3,BioTIME
Bathydraco scotiae,1,BioTIME
Bathydraco sp,8,BioTIME
Bathydraconidae ,4,BioTIME
Bathygadus ,3,BioTIME
Bathygadus cottoides,21,BioTIME
Bathygadus favosus,13,BioTIME
Bathygadus melanobranchus,19,BioTIME
Bathyglycinde sibogana,6,BioTIME
Bathygnathia ,4,BioTIME
Bathygobius fuscus,5,BioTIME
Bathygobius krefftii,9,BioTIME
Bathygobius soporator,1,BioTIME
Bathylaco ,1,BioTIME
Bathylaco nigricans,6,BioTIME
Bathylaco sp,2,BioTIME
Bathylaconidae ,1,BioTIME
Bathylagidae ,62,BioTIME
Bathylagus ,27,BioTIME
Bathylagus achotensis,1,BioTIME
Bathylagus antarcticus,93,BioTIME
Bathylagus bericoides,15,BioTIME
Bathylagus compsus,9,BioTIME
Bathylagus euryops,209,BioTIME
Bathylagus euryopsa,76,BioTIME
Bathylagus greyae,17,BioTIME
Bathylagus longirostris,1,BioTIME
Bathylagus sp,73,BioTIME
Bathyleberis hancocki,1,BioTIME
Bathyleberis sp,10,BioTIME
Bathyleberis sp51,2,BioTIME
Bathyleptus gracilis,2,BioTIME
Bathylychnops exilis,1,BioTIME
Bathymaster caeruleofasciatus,4,BioTIME
Bathymaster signatus,654,BioTIME
Bathymasteridae ,652,BioTIME
Bathymedon ,7,BioTIME
Bathymedon covilhani,1,BioTIME
Bathymedon kassites,1,BioTIME
Bathymedon longimanus,1,BioTIME
Bathymedon obtusifrons,10,BioTIME
Bathymedon pumilus,36,BioTIME
Bathymedon roquedo,4,BioTIME
Bathymedon saussurei,1,BioTIME
Bathymedon sp3,1,BioTIME
Bathymedon vulpeculus,3,BioTIME
Bathymicrops regis,1,BioTIME
Bathymodiolus ,50,BioTIME
Bathymodiolus aduloides,4,BioTIME
Bathymodiolus hirtus,8,BioTIME
Bathymodiolus japonicus,20,BioTIME
Bathymodiolus marisindicus,10,BioTIME
Bathymodiolus platifrons,56,BioTIME
Bathymodiolus securiformis,6,BioTIME
Bathymodiolus septemdierum,33,BioTIME
Bathymyrus simus,14,BioTIME
Bathynectes ,3,BioTIME
Bathynectes longispina,110,BioTIME
Bathynectes superba,23,BioTIME
Bathyonus sp,11,BioTIME
Bathypectinura heros,1,BioTIME
Bathyphylax omen,1,BioTIME
Bathyphysa sp,3,BioTIME
Bathypilumnus nigrispinifer,8,BioTIME
Bathypilumnus pugilator,117,BioTIME
Bathypolypus ,63,BioTIME
Bathypolypus arcticus,539,BioTIME
Bathypontia elongata,6,BioTIME
Bathypontia major,1,BioTIME
Bathypontia minor,2,BioTIME
Bathypontia sarsi,5,BioTIME
Bathypontia similis,5,BioTIME
Bathypontia spinifera,1,BioTIME
Bathyporeia,18,BioTIME
Bathyporeia ,223,BioTIME
Bathyporeia elegans,372,BioTIME
Bathyporeia gracilis,8,BioTIME
Bathyporeia guilliamsoniana,364,BioTIME
Bathyporeia nana,11,BioTIME
Bathyporeia parkeri,48,BioTIME
Bathyporeia pelagica,199,BioTIME
Bathyporeia pilosa,144,BioTIME
Bathyporeia quoddyensis,32,BioTIME
Bathyporeia sarsi,105,BioTIME
Bathyporeia spec,4,BioTIME
Bathyporeia tenuipes,48,BioTIME
Bathypterois ,9,BioTIME
Bathypterois dubius,63,BioTIME
Bathypterois grallator,1,BioTIME
Bathypterois guentheri,3,BioTIME
Bathypterois longicauda,1,BioTIME
Bathypterois longifilis,3,BioTIME
Bathypterois longipes,9,BioTIME
Bathypterois phenax,11,BioTIME
Bathypterois quadrifilis,4,BioTIME
Bathyraja ,3,BioTIME
Bathyraja abyssicola,1,BioTIME
Bathyraja aleutica,561,BioTIME
Bathyraja brachyurops,1,BioTIME
Bathyraja eatoni,60,BioTIME
Bathyraja griseocauda,1,BioTIME
